team,num_datapoints,auto_level_powercells,autoline_avg,auto_powercells_avg,avg_lower_powercells,avg_high_powercells,percent_higher_that_were_inner,shooting_positions,hang_rate,balanced_success_rate,parked_rate,avg_defense,avg_driving_skill,avg_num_fouls,problems,notes
1,10,"['low', 'high']",0.4,4.8,4.1,6.9,0.3333333333333333,"['nothing', 'farside trench', 'driver station', 'other', 'nearside trench']",1.0,0.7142857142857143,0.2,3.0,3.4,2.1,"[""'none'"", ""'disabled'"", ""'fell apart'"", ""'other'"", ""'lost capabilities'""]",['works great']
2,14,"['low', 'high']",0.5,4.642857142857143,5.214285714285714,10.0,0.22857142857142856,"['other', 'nothing', 'nearside trench', 'autoline', 'farside trench', 'driver station']",0.625,0.4,0.2857142857142857,3.142857142857143,3.9285714285714284,2.0,"[""'none'"", ""'disabled'"", ""'fell apart'"", ""'other'"", ""'lost capabilities'""]",['works great']
3,8,"['high', 'low']",0.625,2.75,5.375,11.125,0.2696629213483146,"['nothing', 'nearside trench', 'other', 'driver station', 'autoline']",0.4,0.5,0.125,3.5,3.125,2.25,"[""'none'"", ""'disabled'"", ""'fell apart'"", ""'lost capabilities'"", ""'other'""]",['works great']
4,12,"['high', 'low']",0.5,2.5,6.083333333333333,10.75,0.2248062015503876,"['nothing', 'nearside trench', 'farside trench', 'other', 'autoline', 'driver station']",0.7777777777777778,0.42857142857142855,0.16666666666666666,3.4166666666666665,3.25,2.1666666666666665,"[""'none'"", ""'fell apart'"", ""'other'"", ""'disabled'"", ""'lost capabilities'""]",['works great']
5,12,"['low', 'high']",0.5833333333333334,3.9166666666666665,4.166666666666667,9.833333333333334,0.2457627118644068,"['nothing', 'farside trench', 'other', 'nearside trench', 'driver station']",1.0,0.25,0.25,3.1666666666666665,1.75,1.9166666666666667,"[""'none'"", ""'other'"", ""'lost capabilities'"", ""'disabled'"", ""'fell apart'""]",['works great']
6,7,"['high', 'low']",0.5714285714285714,3.4285714285714284,3.857142857142857,6.857142857142857,0.3541666666666667,"['other', 'nothing', 'nearside trench', 'driver station', 'autoline']",1.0,0.8,0.14285714285714285,2.0,3.142857142857143,1.8571428571428572,"[""'none'"", ""'other'"", ""'lost capabilities'"", ""'disabled'"", ""'fell apart'""]",['works great']
7,5,"['low', 'high']",0.6,5.0,4.4,8.4,0.23809523809523808,"['autoline', 'driver station', 'farside trench', 'nothing']",0.25,0.0,0.0,3.2,3.0,2.2,"[""'none'"", ""'disabled'"", ""'fell apart'""]",['works great']
8,6,"['high', 'low']",0.3333333333333333,3.8333333333333335,6.0,9.666666666666666,0.25862068965517243,"['other', 'nothing', 'nearside trench', 'farside trench']",0.3333333333333333,1.0,0.3333333333333333,3.1666666666666665,3.0,1.8333333333333333,"[""'none'"", ""'other'"", ""'disabled'"", ""'lost capabilities'""]",['works great']
9,6,"['low', 'high']",0.5,3.5,3.6666666666666665,6.5,0.4358974358974359,"['other', 'farside trench', 'nearside trench', 'nothing', 'driver station']",0.6666666666666666,0.5,0.16666666666666666,2.6666666666666665,1.8333333333333333,2.6666666666666665,"[""'none'"", ""'fell apart'"", ""'disabled'"", ""'lost capabilities'""]",['works great']
10,3,"['high', 'low']",1.0,4.666666666666667,6.0,10.666666666666666,0.3125,"['autoline', 'nearside trench', 'farside trench']",0.5,0.0,0.3333333333333333,2.3333333333333335,2.6666666666666665,2.6666666666666665,"[""'none'"", ""'fell apart'"", ""'other'""]",['works great']
11,6,"['low', 'high']",0.8333333333333334,2.3333333333333335,4.166666666666667,9.166666666666666,0.23636363636363636,"['farside trench', 'nothing', 'other']",0.75,0.3333333333333333,0.16666666666666666,2.1666666666666665,1.8333333333333333,1.6666666666666667,"[""'none'"", ""'disabled'"", ""'fell apart'""]",['works great']
12,6,"['low', 'high']",0.3333333333333333,3.3333333333333335,2.5,9.833333333333334,0.22033898305084745,"['nearside trench', 'farside trench', 'nothing', 'driver station']",0.75,0.6666666666666666,0.3333333333333333,3.3333333333333335,4.166666666666667,2.1666666666666665,"[""'none'"", ""'disabled'"", ""'lost capabilities'"", ""'fell apart'""]",['works great']
13,2,"['high', 'low']",0.0,6.0,8.0,14.0,0.25,['driver station'],0.0,0.0,0.0,3.0,3.5,2.5,"[""'none'"", ""'lost capabilities'"", ""'disabled'""]",['works great']
14,3,"['high', 'low']",0.6666666666666666,3.0,4.0,10.333333333333334,0.25806451612903225,"['farside trench', 'autoline', 'driver station']",0.5,1.0,0.0,3.3333333333333335,4.666666666666667,1.6666666666666667,"[""'none'"", ""'other'"", ""'fell apart'"", ""'lost capabilities'""]",['works great']
15,9,"['low', 'high']",0.5555555555555556,5.555555555555555,5.555555555555555,10.0,0.36666666666666664,"['autoline', 'other', 'nearside trench', 'nothing', 'driver station']",0.8571428571428571,0.16666666666666666,0.2222222222222222,2.4444444444444446,3.0,2.111111111111111,"[""'none'"", ""'other'"", ""'fell apart'"", ""'lost capabilities'"", ""'disabled'""]",['works great']
